Province and City,Gender,Age group,Year,Population,Unemployment rate,Employment rate,Population Total
"Barrie, Ontario",Men,25 to 54 years,2024,54,5.2,87.6,54000
"Barrie, Ontario",Men,25 to 54 years,2025,51.2,7.4,83.4,51200
"Barrie, Ontario",Men,55 years and over,2021,27.1,x,46.1,27100
"Barrie, Ontario",Men,55 years and over,2022,31.2,x,50.3,31200
"Barrie, Ontario",Men,55 years and over,2023,25.4,x,39,25400
"Barrie, Ontario",Men,55 years and over,2024,28.8,x,41,28800
"Barrie, Ontario",Men,55 years and over,2025,32.1,x,43.6,32100
"Barrie, Ontario",Women,15 to 24 years,2021,13.9,x,49.6,13900
"Barrie, Ontario",Women,15 to 24 years,2022,13.9,15.5,62.6,13900
"Barrie, Ontario",Women,15 to 24 years,2023,15.8,x,65.8,15800
"Barrie, Ontario",Women,15 to 24 years,2024,15.9,x,57.2,15900
"Barrie, Ontario",Women,15 to 24 years,2025,14.3,x,53.1,14300
"Barrie, Ontario",Women,25 to 54 years,2021,47,5.9,77.9,47000
"Barrie, Ontario",Women,25 to 54 years,2022,46.2,4.2,84,46200
"Barrie, Ontario",Women,25 to 54 years,2023,49.7,x,84.1,49700
"Barrie, Ontario",Women,25 to 54 years,2024,54.1,4.5,81.9,54100
"Barrie, Ontario",Women,25 to 54 years,2025,56.8,7,79.9,56800
"Barrie, Ontario",Women,55 years and over,2021,29.1,x,34.7,29100
"Barrie, Ontario",Women,55 years and over,2022,34.9,x,37,34900
"Barrie, Ontario",Women,55 years and over,2023,33.3,x,34.2,33300
"Barrie, Ontario",Women,55 years and over,2024,35.5,x,29.9,35500
"Barrie, Ontario",Women,55 years and over,2025,38.5,x,27.8,38500
"Greater Sudbury, Ontario",Men,15 to 24 years,2021,9.2,x,65.2,9200
"Greater Sudbury, Ontario",Men,15 to 24 years,2022,10.4,x,70.2,10400
"Greater Sudbury, Ontario",Men,15 to 24 years,2023,11.8,x,67.8,11800
"Greater Sudbury, Ontario",Men,15 to 24 years,2024,8.8,x,56.8,8800
"Greater Sudbury, Ontario",Men,15 to 24 years,2025,11.7,x,63.2,11700
"Greater Sudbury, Ontario",Men,25 to 54 years,2021,35.3,6,84.4,35300
"Greater Sudbury, Ontario",Men,25 to 54 years,2022,33.7,x,89.6,33700
"Greater Sudbury, Ontario",Men,25 to 54 years,2023,33.5,4.9,87.5,33500
"Greater Sudbury, Ontario",Men,25 to 54 years,2024,36.1,4.6,85.9,36100
"Greater Sudbury, Ontario",Men,25 to 54 years,2025,38.6,5.7,86.3,38600
"Greater Sudbury, Ontario",Men,55 years and over,2021,29.5,x,32.9,29500
"Greater Sudbury, Ontario",Men,55 years and over,2022,31.8,x,27.7,31800
"Greater Sudbury, Ontario",Men,55 years and over,2023,31.3,x,32.9,31300
"Greater Sudbury, Ontario",Men,55 years and over,2024,32.6,x,29.4,32600
"Greater Sudbury, Ontario",Men,55 years and over,2025,31,x,31,31000
"Greater Sudbury, Ontario",Women,15 to 24 years,2021,8.7,x,59.8,8700
"Greater Sudbury, Ontario",Women,15 to 24 years,2022,8.6,x,77.9,8600
"Greater Sudbury, Ontario",Women,15 to 24 years,2023,9.4,x,68.1,9400
"Greater Sudbury, Ontario",Women,15 to 24 years,2024,10.1,x,63.4,10100
"Greater Sudbury, Ontario",Women,15 to 24 years,2025,10.2,x,65.7,10200
"Greater Sudbury, Ontario",Women,25 to 54 years,2021,31.3,x,81.2,31300
"Greater Sudbury, Ontario",Women,25 to 54 years,2022,31.5,x,84.8,31500
"Greater Sudbury, Ontario",Women,25 to 54 years,2023,32.5,x,86.5,32500
"Greater Sudbury, Ontario",Women,25 to 54 years,2024,34.7,x,86.2,34700
"Greater Sudbury, Ontario",Women,25 to 54 years,2025,36.4,x,81.9,36400
"Greater Sudbury, Ontario",Women,55 years and over,2021,34.5,x,22.3,34500
"Greater Sudbury, Ontario",Women,55 years and over,2022,34.8,x,24.7,34800
"Greater Sudbury, Ontario",Women,55 years and over,2023,36.2,x,25.7,36200
"Greater Sudbury, Ontario",Women,55 years and over,2024,37,x,22.2,37000
"Greater Sudbury, Ontario",Women,55 years and over,2025,34.3,x,25.4,34300
"Thunder Bay, Ontario",Men,15 to 24 years,2021,7.5,x,53.3,7500
"Thunder Bay, Ontario",Men,15 to 24 years,2022,6.8,x,61.8,6800
"Thunder Bay, Ontario",Men,15 to 24 years,2023,7.1,x,69,7100
"Thunder Bay, Ontario",Men,15 to 24 years,2024,8.2,x,58.5,8200
"Thunder Bay, Ontario",Men,15 to 24 years,2025,8.4,x,58.3,8400
"Thunder Bay, Ontario",Men,25 to 54 years,2021,25.1,x,84.1,25100
"Thunder Bay, Ontario",Men,25 to 54 years,2022,25.5,x,87.8,25500
"Thunder Bay, Ontario",Men,25 to 54 years,2023,25.6,x,86.3,25600
"Thunder Bay, Ontario",Men,25 to 54 years,2024,23.8,x,89.1,23800
"Thunder Bay, Ontario",Men,25 to 54 years,2025,26.7,x,87.6,26700
"Thunder Bay, Ontario",Men,55 years and over,2021,21.2,x,32.5,21200
"Thunder Bay, Ontario",Men,55 years and over,2022,22.2,x,31.1,22200
"Thunder Bay, Ontario",Men,55 years and over,2023,22,x,31.8,22000
"Thunder Bay, Ontario",Men,55 years and over,2024,23.4,x,30.8,23400
"Thunder Bay, Ontario",Men,55 years and over,2025,20.5,x,33.2,20500
"Thunder Bay, Ontario",Women,15 to 24 years,2021,7.3,x,65.8,7300
"Thunder Bay, Ontario",Women,15 to 24 years,2022,5.2,x,67.3,5200
"Thunder Bay, Ontario",Women,15 to 24 years,2023,7.2,x,69.4,7200
"Thunder Bay, Ontario",Women,15 to 24 years,2024,7.3,x,71.2,7300
"Thunder Bay, Ontario",Women,15 to 24 years,2025,7.2,x,65.3,7200
"Thunder Bay, Ontario",Women,25 to 54 years,2021,23.8,x,80.7,23800
"Thunder Bay, Ontario",Women,25 to 54 years,2022,24,x,82.5,24000
"Thunder Bay, Ontario",Women,25 to 54 years,2023,23.5,x,85.1,23500
"Thunder Bay, Ontario",Women,25 to 54 years,2024,23.3,x,86.3,23300
"Thunder Bay, Ontario",Women,25 to 54 years,2025,24.8,x,83.9,24800
"Thunder Bay, Ontario",Women,55 years and over,2021,23.1,x,25.5,23100
"Thunder Bay, Ontario",Women,55 years and over,2022,24.4,x,24.6,24400
"Thunder Bay, Ontario",Women,55 years and over,2023,23.7,x,27,23700
"Thunder Bay, Ontario",Women,55 years and over,2024,25.3,x,25.7,25300
"Thunder Bay, Ontario",Women,55 years and over,2025,24.1,x,26.1,24100
"Winnipeg, Manitoba",Men,15 to 24 years,2021,61.5,15.4,55.4,61500
"Winnipeg, Manitoba",Men,15 to 24 years,2022,60.8,9.3,62.7,60800
"Winnipeg, Manitoba",Men,15 to 24 years,2023,61.2,10.6,60.5,61200
"Winnipeg, Manitoba",Men,15 to 24 years,2024,68,12.6,57.9,68000
"Winnipeg, Manitoba",Men,15 to 24 years,2025,67.2,13.8,55.8,67200
"Winnipeg, Manitoba",Men,25 to 54 years,2021,180.3,5.4,87.6,180300
"Winnipeg, Manitoba",Men,25 to 54 years,2022,181.6,3.8,88.8,181600
"Winnipeg, Manitoba",Men,25 to 54 years,2023,187.8,4.5,88.7,187800
"Winnipeg, Manitoba",Men,25 to 54 years,2024,197.9,4.6,88.5,197900
"Winnipeg, Manitoba",Men,25 to 54 years,2025,211.2,4.7,87.6,211200
"Winnipeg, Manitoba",Men,55 years and over,2021,113.2,5.3,42.3,113200
"Winnipeg, Manitoba",Men,55 years and over,2022,117.7,3.9,41.3,117700
"Winnipeg, Manitoba",Men,55 years and over,2023,126.1,3,41.6,126100
"Winnipeg, Manitoba",Men,55 years and over,2024,127.7,5.1,39.2,127700
"Winnipeg, Manitoba",Men,55 years and over,2025,126,4.1,41,126000
"Winnipeg, Manitoba",Women,15 to 24 years,2021,53.5,11.7,60.4,53500
"Winnipeg, Manitoba",Women,15 to 24 years,2022,52.7,8,65.7,52700
"Winnipeg, Manitoba",Women,15 to 24 years,2023,54.5,9.3,62.9,54500
"Winnipeg, Manitoba",Women,15 to 24 years,2024,57.6,11.5,57.3,57600
"Winnipeg, Manitoba",Women,15 to 24 years,2025,60.9,12.1,58.5,60900
"Winnipeg, Manitoba",Women,25 to 54 years,2021,173.4,5.3,80.9,173400
"Winnipeg, Manitoba",Women,25 to 54 years,2022,176.1,3.6,83.4,176100
"Winnipeg, Manitoba",Women,25 to 54 years,2023,176.5,3.7,83.5,176500
"Winnipeg, Manitoba",Women,25 to 54 years,2024,187.7,3.9,83.7,187700
"Winnipeg, Manitoba",Women,25 to 54 years,2025,195.9,5.4,80.9,195900
"Winnipeg, Manitoba",Women,55 years and over,2021,125.2,6.4,29.1,125200
"Winnipeg, Manitoba",Women,55 years and over,2022,131.7,4.5,30.4,131700
"Winnipeg, Manitoba",Women,55 years and over,2023,138.3,4.2,31.5,138300
"Winnipeg, Manitoba",Women,55 years and over,2024,139.2,3.7,29.8,139200
"Winnipeg, Manitoba",Women,55 years and over,2025,138.8,4.1,30.6,138800
"Regina, Saskatchewan",Men,15 to 24 years,2021,15.4,18.3,55.2,15400
"Regina, Saskatchewan",Men,15 to 24 years,2022,17.2,8.9,59.3,17200
"Regina, Saskatchewan",Men,15 to 24 years,2023,17.1,9.2,57.9,17100
"Regina, Saskatchewan",Men,15 to 24 years,2024,22,15.6,54.1,22000
"Regina, Saskatchewan",Men,15 to 24 years,2025,20.9,17.8,50.7,20900
"Regina, Saskatchewan",Men,25 to 54 years,2021,52.8,5.7,88.1,52800
"Regina, Saskatchewan",Men,25 to 54 years,2022,54.7,5.3,87.4,54700
"Regina, Saskatchewan",Men,25 to 54 years,2023,56.5,5.2,87.8,56500
"Regina, Saskatchewan",Men,25 to 54 years,2024,57.7,5.4,88.2,57700
"Regina, Saskatchewan",Men,25 to 54 years,2025,60.2,4.5,87.7,60200
"Regina, Saskatchewan",Men,55 years and over,2021,34.9,7.4,43,34900
"Regina, Saskatchewan",Men,55 years and over,2022,35.6,4,40.7,35600
"Regina, Saskatchewan",Men,55 years and over,2023,36.2,x,42.8,36200
"Regina, Saskatchewan",Men,55 years and over,2024,35.6,3.1,43.3,35600
"Regina, Saskatchewan",Men,55 years and over,2025,35.2,3.8,42.6,35200
"Regina, Saskatchewan",Women,15 to 24 years,2021,14.7,12.4,57.1,14700
"Regina, Saskatchewan",Women,15 to 24 years,2022,12.8,8.6,57.8,12800
"Regina, Saskatchewan",Women,15 to 24 years,2023,16,11.7,56.9,16000
"Regina, Saskatchewan",Women,15 to 24 years,2024,16.3,11.7,55.8,16300
"Regina, Saskatchewan",Women,15 to 24 years,2025,18.1,14,58,18100
"Regina, Saskatchewan",Women,25 to 54 years,2021,51.6,4.7,82.6,51600
"Regina, Saskatchewan",Women,25 to 54 years,2022,50.9,3.6,83.3,50900
"Regina, Saskatchewan",Women,25 to 54 years,2023,53.6,4.1,83.2,53600
"Regina, Saskatchewan",Women,25 to 54 years,2024,54.5,5.6,80.7,54500
"Regina, Saskatchewan",Women,25 to 54 years,2025,59.9,4.5,82,59900
"Regina, Saskatchewan",Women,55 years and over,2021,36.9,4,32.2,36900
"Regina, Saskatchewan",Women,55 years and over,2022,37.9,3.8,33.8,37900
"Regina, Saskatchewan",Women,55 years and over,2023,37.3,x,33.2,37300
"Regina, Saskatchewan",Women,55 years and over,2024,39.9,x,32.8,39900
"Regina, Saskatchewan",Women,55 years and over,2025,38.5,x,33.5,38500
"Saskatoon, Saskatchewan",Men,15 to 24 years,2021,22.3,14.2,54.3,22300
"Saskatoon, Saskatchewan",Men,15 to 24 years,2022,24.1,9.9,56.8,24100
"Saskatoon, Saskatchewan",Men,15 to 24 years,2023,24.4,10.4,56.6,24400
"Saskatoon, Saskatchewan",Men,15 to 24 years,2024,25.3,12.1,56.9,25300
"Saskatoon, Saskatchewan",Men,15 to 24 years,2025,24.6,10.4,56.1,24600
"Saskatoon, Saskatchewan",Men,25 to 54 years,2021,70,6,87.1,70000
"Saskatoon, Saskatchewan",Men,25 to 54 years,2022,71.4,4.1,90.8,71400
"Saskatoon, Saskatchewan",Men,25 to 54 years,2023,75.3,4.1,90,75300
"Saskatoon, Saskatchewan",Men,25 to 54 years,2024,81,3.5,90.7,81000
"Saskatoon, Saskatchewan",Men,25 to 54 years,2025,84.1,4.8,88.9,84100
"Saskatoon, Saskatchewan",Men,55 years and over,2021,38.2,9.7,41.4,38200
"Saskatoon, Saskatchewan",Men,55 years and over,2022,38,4.8,46.3,38000
"Saskatoon, Saskatchewan",Men,55 years and over,2023,39.3,3.6,47.3,39300
"Saskatoon, Saskatchewan",Men,55 years and over,2024,39.1,4.3,45.5,39100
"Saskatoon, Saskatchewan",Men,55 years and over,2025,44.8,4.4,44,44800
"Saskatoon, Saskatchewan",Women,15 to 24 years,2021,23.6,8.6,58.9,23600
"Saskatoon, Saskatchewan",Women,15 to 24 years,2022,24.3,4.3,63.8,24300
"Saskatoon, Saskatchewan",Women,15 to 24 years,2023,24.3,10.1,59.3,24300
"Saskatoon, Saskatchewan",Women,15 to 24 years,2024,26.5,8.5,56.6,26500
"Saskatoon, Saskatchewan",Women,15 to 24 years,2025,25.4,8.7,57.9,25400
"Saskatoon, Saskatchewan",Women,25 to 54 years,2021,68.2,5.6,78.6,68200
"Saskatoon, Saskatchewan",Women,25 to 54 years,2022,70.3,2.8,82.5,70300
"Saskatoon, Saskatchewan",Women,25 to 54 years,2023,74.4,4.4,81,74400
"Saskatoon, Saskatchewan",Women,25 to 54 years,2024,80.8,5,81.9,80800
"Saskatoon, Saskatchewan",Women,25 to 54 years,2025,80,4.7,82.9,80000
"Saskatoon, Saskatchewan",Women,55 years and over,2021,40.8,7,29.2,40800
"Saskatoon, Saskatchewan",Women,55 years and over,2022,41.4,x,36.5,41400
"Saskatoon, Saskatchewan",Women,55 years and over,2023,43.8,3.7,35.6,43800
"Saskatoon, Saskatchewan",Women,55 years and over,2024,42.4,x,32.3,42400
"Saskatoon, Saskatchewan",Women,55 years and over,2025,47.8,x,32,47800
"Lethbridge, Alberta",Men,15 to 24 years,2021,7.2,x,56.9,7200
"Lethbridge, Alberta",Men,15 to 24 years,2022,8.7,x,63.2,8700
"Lethbridge, Alberta",Men,15 to 24 years,2023,8.8,x,55.7,8800
"Lethbridge, Alberta",Men,15 to 24 years,2024,9.9,x,65.7,9900
"Lethbridge, Alberta",Men,15 to 24 years,2025,11.1,x,57.7,11100
"Lethbridge, Alberta",Men,25 to 54 years,2021,25.9,x,85.7,25900
"Lethbridge, Alberta",Men,25 to 54 years,2022,25.8,x,87.2,25800
"Lethbridge, Alberta",Men,25 to 54 years,2023,28.7,x,89.2,28700
"Lethbridge, Alberta",Men,25 to 54 years,2024,30.1,5.3,88.4,30100
"Lethbridge, Alberta",Men,25 to 54 years,2025,28,x,90.4,28000
"Lethbridge, Alberta",Men,55 years and over,2021,18.5,x,40.5,18500
"Lethbridge, Alberta",Men,55 years and over,2022,17.2,x,40.1,17200
"Lethbridge, Alberta",Men,55 years and over,2023,17.4,x,37.9,17400
"Lethbridge, Alberta",Men,55 years and over,2024,16.2,x,38.9,16200
"Lethbridge, Alberta",Men,55 years and over,2025,19.5,x,37.9,19500
"Lethbridge, Alberta",Women,15 to 24 years,2021,7.3,x,63,7300
"Lethbridge, Alberta",Women,15 to 24 years,2022,8.3,x,68.7,8300
"Lethbridge, Alberta",Women,15 to 24 years,2023,8.8,x,60.2,8800
"Lethbridge, Alberta",Women,15 to 24 years,2024,11.8,x,59.3,11800
"Lethbridge, Alberta",Women,15 to 24 years,2025,10,x,61,10000
"Lethbridge, Alberta",Women,25 to 54 years,2021,23.8,x,78.2,23800
"Lethbridge, Alberta",Women,25 to 54 years,2022,26.8,x,79.5,26800
"Lethbridge, Alberta",Women,25 to 54 years,2023,26.7,x,76.8,26700
"Lethbridge, Alberta",Women,25 to 54 years,2024,27.8,x,77,27800
"Lethbridge, Alberta",Women,25 to 54 years,2025,27.4,x,75.9,27400
"Lethbridge, Alberta",Women,55 years and over,2021,20.4,x,29.4,20400
"Lethbridge, Alberta",Women,55 years and over,2022,18.3,x,28.4,18300
"Lethbridge, Alberta",Women,55 years and over,2023,18.2,x,28.6,18200
"Lethbridge, Alberta",Women,55 years and over,2024,17.6,x,30.7,17600
"Lethbridge, Alberta",Women,55 years and over,2025,21,x,32.4,21000
"Calgary, Alberta",Men,15 to 24 years,2021,92.1,18.3,48.1,92100
"Calgary, Alberta",Men,15 to 24 years,2022,90.9,15.4,49.7,90900
"Calgary, Alberta",Men,15 to 24 years,2023,97.9,16,48.2,97900
"Calgary, Alberta",Men,15 to 24 years,2024,111.2,18.5,49.3,111200
"Calgary, Alberta",Men,15 to 24 years,2025,115,20.8,50.6,115000
"Calgary, Alberta",Men,25 to 54 years,2021,340.3,7.7,86,340300
"Calgary, Alberta",Men,25 to 54 years,2022,367.1,4.7,89.2,367100
"Calgary, Alberta",Men,25 to 54 years,2023,384.5,4.6,89.2,384500
"Calgary, Alberta",Men,25 to 54 years,2024,408.7,5.9,88.3,408700
"Calgary, Alberta",Men,25 to 54 years,2025,421.5,5.2,88.9,421500
"Calgary, Alberta",Men,55 years and over,2021,185.5,9,46.4,185500
"Calgary, Alberta",Men,55 years and over,2022,183.7,5.9,45.7,183700
"Calgary, Alberta",Men,55 years and over,2023,195.7,6.2,45,195700
"Calgary, Alberta",Men,55 years and over,2024,211.9,7.2,45.8,211900
"Calgary, Alberta",Men,55 years and over,2025,227.6,6.5,44.4,227600
"Calgary, Alberta",Women,15 to 24 years,2021,90.3,11.7,54.2,90300
"Calgary, Alberta",Women,15 to 24 years,2022,96.1,11.6,54.9,96100
"Calgary, Alberta",Women,15 to 24 years,2023,91.3,8,55.1,91300
"Calgary, Alberta",Women,15 to 24 years,2024,102.1,13.2,54.2,102100
"Calgary, Alberta",Women,15 to 24 years,2025,118.5,13.5,55.8,118500
"Calgary, Alberta",Women,25 to 54 years,2021,349.6,7.7,76.7,349600
"Calgary, Alberta",Women,25 to 54 years,2022,366.9,5.5,80.2,366900
"Calgary, Alberta",Women,25 to 54 years,2023,384.6,5.7,79.4,384600
"Calgary, Alberta",Women,25 to 54 years,2024,400.1,6.8,78.4,400100
"Calgary, Alberta",Women,25 to 54 years,2025,398.1,6.6,78.7,398100
"Calgary, Alberta",Women,55 years and over,2021,195.3,10.6,37,195300
"Calgary, Alberta",Women,55 years and over,2022,186.1,6,35.9,186100
"Calgary, Alberta",Women,55 years and over,2023,208.8,6.1,34.8,208800
"Calgary, Alberta",Women,55 years and over,2024,217.3,6.8,33.6,217300
"Calgary, Alberta",Women,55 years and over,2025,242.6,4.3,32.4,242600
"Red Deer, Alberta ",Men,15 to 24 years,2021,6.2,x,59.7,6200
"Red Deer, Alberta ",Men,15 to 24 years,2022,5.3,x,54.7,5300
"Red Deer, Alberta ",Men,15 to 24 years,2023,6.9,x,66.7,6900
"Red Deer, Alberta ",Men,15 to 24 years,2024,5.6,x,69.6,5600
"Red Deer, Alberta ",Men,15 to 24 years,2025,8.2,x,58.5,8200
"Red Deer, Alberta ",Men,25 to 54 years,2021,17.6,x,83.5,17600
"Red Deer, Alberta ",Men,25 to 54 years,2022,18.3,x,83.6,18300
"Red Deer, Alberta ",Men,25 to 54 years,2023,19.7,x,83.2,19700
"Red Deer, Alberta ",Men,25 to 54 years,2024,22.9,9.3,80.8,22900
"Red Deer, Alberta ",Men,25 to 54 years,2025,23.8,7.4,84.5,23800
"Red Deer, Alberta ",Men,55 years and over,2021,15.4,x,43.5,15400
"Red Deer, Alberta ",Men,55 years and over,2022,16.9,x,43.2,16900
"Red Deer, Alberta ",Men,55 years and over,2023,17.3,x,35.8,17300
"Red Deer, Alberta ",Men,55 years and over,2024,16.3,x,36.8,16300
"Red Deer, Alberta ",Men,55 years and over,2025,14.3,x,42,14300
"Red Deer, Alberta ",Women,15 to 24 years,2021,6.8,x,51.5,6800
"Red Deer, Alberta ",Women,15 to 24 years,2022,6.5,x,63.1,6500
"Red Deer, Alberta ",Women,15 to 24 years,2023,4.9,x,69.4,4900
"Red Deer, Alberta ",Women,15 to 24 years,2024,6.1,x,59,6100
"Red Deer, Alberta ",Women,15 to 24 years,2025,6.6,x,51.5,6600
"Red Deer, Alberta ",Women,25 to 54 years,2021,19.5,10.4,75.9,19500
"Red Deer, Alberta ",Women,25 to 54 years,2022,18.3,x,78.7,18300
"Red Deer, Alberta ",Women,25 to 54 years,2023,18.9,x,76.2,18900
"Red Deer, Alberta ",Women,25 to 54 years,2024,23.2,x,78.4,23200
"Red Deer, Alberta ",Women,25 to 54 years,2025,24.1,x,81.7,24100
"Red Deer, Alberta ",Women,55 years and over,2021,18.2,x,30.8,18200
"Red Deer, Alberta ",Women,55 years and over,2022,19.9,x,34.7,19900
"Red Deer, Alberta ",Women,55 years and over,2023,20.1,x,31.3,20100
"Red Deer, Alberta ",Women,55 years and over,2024,17.3,x,28.9,17300
"Red Deer, Alberta ",Women,55 years and over,2025,17,x,30.6,17000
"Edmonton, Alberta",Men,15 to 24 years,2021,95.2,18.7,52.7,95200
"Edmonton, Alberta",Men,15 to 24 years,2022,97.7,10.7,57.2,97700
"Edmonton, Alberta",Men,15 to 24 years,2023,102.2,15.6,52,102200
"Edmonton, Alberta",Men,15 to 24 years,2024,102.5,17.6,51.3,102500
"Edmonton, Alberta",Men,15 to 24 years,2025,112.7,17.2,52.1,112700
"Edmonton, Alberta",Men,25 to 54 years,2021,325.9,6.7,86.7,325900
"Edmonton, Alberta",Men,25 to 54 years,2022,326,4.9,87.8,326000
"Edmonton, Alberta",Men,25 to 54 years,2023,332.1,4.8,89.4,332100
"Edmonton, Alberta",Men,25 to 54 years,2024,352.8,6,86.7,352800
"Edmonton, Alberta",Men,25 to 54 years,2025,365.8,6.3,86.9,365800
"Edmonton, Alberta",Men,55 years and over,2021,183.5,8.6,45.6,183500
"Edmonton, Alberta",Men,55 years and over,2022,193.6,6.3,42.3,193600
"Edmonton, Alberta",Men,55 years and over,2023,195.5,4.2,46.4,195500
"Edmonton, Alberta",Men,55 years and over,2024,200.3,7,41.1,200300
"Edmonton, Alberta",Men,55 years and over,2025,198.4,6.2,40.7,198400
"Edmonton, Alberta",Women,15 to 24 years,2021,88.3,14.5,53.3,88300
"Edmonton, Alberta",Women,15 to 24 years,2022,86,10.3,60,86000
"Edmonton, Alberta",Women,15 to 24 years,2023,99.6,11.5,61,99600
"Edmonton, Alberta",Women,15 to 24 years,2024,99.8,14,57.3,99800
"Edmonton, Alberta",Women,15 to 24 years,2025,98.1,15.9,51.4,98100
"Edmonton, Alberta",Women,25 to 54 years,2021,320.9,7.5,76.8,320900
"Edmonton, Alberta",Women,25 to 54 years,2022,313.7,4.8,81.6,313700
"Edmonton, Alberta",Women,25 to 54 years,2023,327.9,5.1,79.4,327900
"Edmonton, Alberta",Women,25 to 54 years,2024,345.6,6.3,77.4,345600
"Edmonton, Alberta",Women,25 to 54 years,2025,368.5,6.7,76.3,368500
"Edmonton, Alberta",Women,55 years and over,2021,193.5,9.5,35.8,193500
"Edmonton, Alberta",Women,55 years and over,2022,210.5,6.3,34,210500
"Edmonton, Alberta",Women,55 years and over,2023,208.3,4.2,34.2,208300
"Edmonton, Alberta",Women,55 years and over,2024,223.4,4.9,32.2,223400
"Edmonton, Alberta",Women,55 years and over,2025,212.5,4.3,33.6,212500
"Kelowna, British Columbia",Men,15 to 24 years,2021,11.6,x,64.7,11600
"Kelowna, British Columbia",Men,15 to 24 years,2022,12.5,x,62.4,12500
"Kelowna, British Columbia",Men,15 to 24 years,2023,12.1,x,66.9,12100
"Kelowna, British Columbia",Men,15 to 24 years,2024,17.8,x,59.6,17800
"Kelowna, British Columbia",Men,15 to 24 years,2025,15.7,x,55.4,15700
"Kelowna, British Columbia",Men,25 to 54 years,2021,42.8,5.7,88.6,42800
"Kelowna, British Columbia",Men,25 to 54 years,2022,40.4,3.9,91.8,40400
"Kelowna, British Columbia",Men,25 to 54 years,2023,44.9,4,90.6,44900
"Kelowna, British Columbia",Men,25 to 54 years,2024,42.8,5.8,83.9,42800
"Kelowna, British Columbia",Men,25 to 54 years,2025,47,8.2,83.2,47000
"Kelowna, British Columbia",Men,55 years and over,2021,37,x,36.2,37000
"Kelowna, British Columbia",Men,55 years and over,2022,40.8,x,29.9,40800
"Kelowna, British Columbia",Men,55 years and over,2023,41.7,x,36.5,41700
"Kelowna, British Columbia",Men,55 years and over,2024,41.3,x,32.2,41300
"Kelowna, British Columbia",Men,55 years and over,2025,39.7,x,40.6,39700
"Kelowna, British Columbia",Women,15 to 24 years,2021,12.1,x,65.3,12100
"Kelowna, British Columbia",Women,15 to 24 years,2022,9,x,82.2,9000
"Kelowna, British Columbia",Women,15 to 24 years,2023,7.9,x,74.7,7900
"Kelowna, British Columbia",Women,15 to 24 years,2024,15,x,72.7,15000
"Kelowna, British Columbia",Women,15 to 24 years,2025,12.1,x,60.3,12100
"Kelowna, British Columbia",Women,25 to 54 years,2021,40.5,x,83,40500
"Kelowna, British Columbia",Women,25 to 54 years,2022,42.2,x,83.6,42200
"Kelowna, British Columbia",Women,25 to 54 years,2023,41.6,x,87,41600
"Kelowna, British Columbia",Women,25 to 54 years,2024,43.5,x,83.4,43500
"Kelowna, British Columbia",Women,25 to 54 years,2025,48.4,5.3,77.3,48400
"Kelowna, British Columbia",Women,55 years and over,2021,42.1,x,24.2,42100
"Kelowna, British Columbia",Women,55 years and over,2022,46.7,x,26.6,46700
"Kelowna, British Columbia",Women,55 years and over,2023,49.4,x,26.9,49400
"Kelowna, British Columbia",Women,55 years and over,2024,45.1,x,22.8,45100
"Kelowna, British Columbia",Women,55 years and over,2025,47.4,x,28.3,47400
"Kamloops, British Columbia ",Men,15 to 24 years,2021,10,x,68,10000
"Kamloops, British Columbia ",Men,15 to 24 years,2022,11.2,x,67.9,11200
"Kamloops, British Columbia ",Men,15 to 24 years,2023,5.9,x,57.6,5900
"Kamloops, British Columbia ",Men,15 to 24 years,2024,10.8,x,77.8,10800
"Kamloops, British Columbia ",Men,15 to 24 years,2025,7.9,x,65.8,7900
"Kamloops, British Columbia ",Men,25 to 54 years,2021,28.9,x,88.9,28900
"Kamloops, British Columbia ",Men,25 to 54 years,2022,24.4,x,90.2,24400
"Kamloops, British Columbia ",Men,25 to 54 years,2023,22.4,x,83.5,22400
"Kamloops, British Columbia ",Men,25 to 54 years,2024,24.1,x,85.5,24100
"Kamloops, British Columbia ",Men,25 to 54 years,2025,28.7,6.5,85.4,28700
"Kamloops, British Columbia ",Men,55 years and over,2021,23.3,x,36.9,23300
"Kamloops, British Columbia ",Men,55 years and over,2022,18.9,x,32.8,18900
"Kamloops, British Columbia ",Men,55 years and over,2023,17,x,32.4,17000
"Kamloops, British Columbia ",Men,55 years and over,2024,16.7,x,36.5,16700
"Kamloops, British Columbia ",Men,55 years and over,2025,18.5,x,40,18500
"Kamloops, British Columbia ",Women,15 to 24 years,2021,7.3,x,69.9,7300
"Kamloops, British Columbia ",Women,15 to 24 years,2022,10.9,x,82.6,10900
"Kamloops, British Columbia ",Women,15 to 24 years,2023,6.5,x,73.8,6500
"Kamloops, British Columbia ",Women,15 to 24 years,2024,7.2,x,55.6,7200
"Kamloops, British Columbia ",Women,15 to 24 years,2025,8.6,x,53.5,8600
"Kamloops, British Columbia ",Women,25 to 54 years,2021,27.9,x,72.4,27900
"Kamloops, British Columbia ",Women,25 to 54 years,2022,26.6,x,82.3,26600
"Kamloops, British Columbia ",Women,25 to 54 years,2023,23.3,x,90.1,23300
"Kamloops, British Columbia ",Women,25 to 54 years,2024,21.2,x,82.1,21200
"Kamloops, British Columbia ",Women,25 to 54 years,2025,30.4,x,82.6,30400
